Plural,Singular,Type,Picture,Picture_pl,Final_C,Trigger_txt,Target_txt,New,Target_img,Trigger_img,Target,Number,a,k,New_seg,Corr,Instr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_1.keys,key_resp_1.rt,key_resp_2.keys,key_resp_2.rt,inputText,text_resp.keys,text_resp.rt,key_resp_4.keys,key_resp_4.rt,FC_resp.keys,FC_resp.rt,gender,age,language,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.85897429333545,,,,,,,,,,,,,001,2019_Feb_12_1015,experiment2_b,3.0.0,59.83824107576236,
musapu,musab,Alt,Images/apple.jpg,Images/apple_pl.jpg,b,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,001,2019_Feb_12_1015,experiment2_b,3.0.0,59.83824107576236,
larupu,larub,Alt,Images/rock.jpg,Images/rock_pl.jpg,b,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,001,2019_Feb_12_1015,experiment2_b,3.0.0,59.83824107576236,
nalipu,nalib,Alt,Images/coin.jpg,Images/coin_pl.jpg,b,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,001,2019_Feb_12_1015,experiment2_b,3.0.0,59.83824107576236,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.5528413347738024,,,,,,,,,,,001,2019_Feb_12_1015,experiment2_b,3.0.0,59.83824107576236,
,,Alt,,,b,musapu,musab,Given,Images/apple.jpg,Images/apple_pl.jpg,sg,Write the singular form on your keyboard - then press enter,,,,,,,,,,0,0,0,0,,,,,,,,,musab,"['m', 'u', 's', 'a', 'b', 'return']","[3.2974582605893374, 3.9800219982007548, 4.162970149686771, 4.3964668055841685, 4.679396269692006, 5.229191732499203]",,,,,,,,001,2019_Feb_12_1015,experiment2_b,3.0.0,59.83824107576236,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.9552441561409069,,,,,,001,2019_Feb_12_1015,experiment2_b,3.0.0,59.83824107576236,
,,Alt,,,b,nasapu,,,Images/spear.jpg,Images/spear_pl.jpg,sg,,nasap,nasab,Given,k,Choose the singular form of the word that belongs to the language,,,,,,,,,0,0,0,1,,,,,,,,,,k,5.4785312744788826,,,,001,2019_Feb_12_1015,experiment2_b,3.0.0,59.83824107576236,
,,Alt,,,b,sanub,,,Images/hammock_pl.jpg,Images/hammock.jpg,pl,,sanupu,sanubu,Given,a,Choose the plural form of the word that belongs to the language,,,,,,,,,0,1,1,2,,,,,,,,,,a,3.697202183778245,,,,001,2019_Feb_12_1015,experiment2_b,3.0.0,59.83824107576236,
