Plural,Singular,Test_cond,New_seg,Filler,Picture,Picture_pl,Trigger_txt,Target_txt,Target_img,Trigger_img,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_1.keys,key_resp_1.rt,key_resp_2.keys,key_resp_2.rt,inputText,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,space,0.7327175806094601,,,,,,111,001,2019_Jan_17_1610,experiment2_b,3.0.0,59.99923202537326,
musapu,musab,0,0,0,Images/apple.jpg,Images/apple_pl.jpg,,,,,0,0,0,0,,,,,,,,,,,,111,001,2019_Jan_17_1610,experiment2_b,3.0.0,59.99923202537326,
,,,,,,,,,,,,,,,,,,,,,space,2.340655210045952,,,,111,001,2019_Jan_17_1610,experiment2_b,3.0.0,59.99923202537326,
,,0,0,0,,,rumutu,rumud,Images/river.jpg,Images/river_pl.jpg,,,,,0,0,0,2,,,,,rumud,"['r', 'u', 'm', 'u', 'd', 'return']","[2.4151808304304723, 2.6797838380261965, 3.029301586568181, 3.7454750793367566, 4.395256331816199, 4.711563027187367]",111,001,2019_Jan_17_1610,experiment2_b,3.0.0,59.99923202537326,
,,0,0,0,,,musapu,musab,Images/apple.jpg,Images/apple_pl.jpg,,,,,0,1,1,0,,,,,musab,"['m', 'u', 's', 'a', 'b', 'return']","[11.389620180576458, 11.65589270064811, 11.756063875811378, 11.922275725126383, 12.23861100657814, 12.521698968936107]",111,001,2019_Jan_17_1610,experiment2_b,3.0.0,59.99923202537326,
