trig,targ,type,trig_img,targ_img,final_c,new,num,instr,a,k,corr,lang,phase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_1.keys,key_resp_1.rt,key_resp_2.keys,key_resp_2.rt,inputText,text_resp.keys,text_resp.rt,key_resp_4.keys,key_resp_4.rt,FC_resp.keys,FC_resp.rt,gender,age,language,group,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.9662484897507966,,,,,,,,,,,,,A,001,2019_Feb_14_0933,experiment2_b,3.0.0,60.056726322406405,
nasab,nasapu,alt,Images/spear.jpg,Images/spear_pl.jpg,b,None,None,None,None,None,None,voicing,exposure,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,A,001,2019_Feb_14_0933,experiment2_b,3.0.0,60.056726322406405,
rimab,rimapu,alt,Images/bean.jpg,Images/bean_pl.jpg,b,None,None,None,None,None,None,voicing,exposure,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,A,001,2019_Feb_14_0933,experiment2_b,3.0.0,60.056726322406405,
milub,milupu,alt,Images/soap.jpg,Images/soap_pl.jpg,b,None,None,None,None,None,None,voicing,exposure,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,A,001,2019_Feb_14_0933,experiment2_b,3.0.0,60.056726322406405,
sanub,sanupu,alt,Images/hammock.jpg,Images/hammock_pl.jpg,b,None,None,None,None,None,None,voicing,exposure,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,A,001,2019_Feb_14_0933,experiment2_b,3.0.0,60.056726322406405,
nalib,nalipu,alt,Images/coin.jpg,Images/coin_pl.jpg,b,None,None,None,None,None,None,voicing,exposure,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,A,001,2019_Feb_14_0933,experiment2_b,3.0.0,60.056726322406405,
larub,larupu,alt,Images/rock.jpg,Images/rock_pl.jpg,b,None,None,None,None,None,None,voicing,exposure,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,A,001,2019_Feb_14_0933,experiment2_b,3.0.0,60.056726322406405,
rumab,rumapu,alt,Images/soldier.jpg,Images/soldier_pl.jpg,b,None,None,None,None,None,None,voicing,exposure,0,6,6,3,,,,,,,,,,,,,,,,,,,,,,,A,001,2019_Feb_14_0933,experiment2_b,3.0.0,60.056726322406405,
minub,minupu,alt,Images/raindrop.jpg,Images/raindrop_pl.jpg,b,None,None,None,None,None,None,voicing,exposure,0,7,7,6,,,,,,,,,,,,,,,,,,,,,,,A,001,2019_Feb_14_0933,experiment2_b,3.0.0,60.056726322406405,
nimub,nimupu,alt,Images/hand.jpg,Images/hand_pl.jpg,b,None,None,None,None,None,None,voicing,exposure,0,8,8,7,,,,,,,,,,,,,,,,,,,,,,,A,001,2019_Feb_14_0933,experiment2_b,3.0.0,60.056726322406405,
misab,misapu,alt,Images/rainbow.jpg,Images/rainbow_pl.jpg,b,None,None,None,None,None,None,voicing,exposure,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,A,001,2019_Feb_14_0933,experiment2_b,3.0.0,60.056726322406405,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,70.0798217905924,,,,,,,,,,,A,001,2019_Feb_14_0933,experiment2_b,3.0.0,60.056726322406405,
milupu,milub,alt,Images/soap_pl.jpg,Images/soap.jpg,b,given,sg,Write the singular form on your keyboard - then press enter,None,None,None,voicing,prod,,,,,0,0,0,0,,,,,,,,,milup,"['m', 'i', 'l', 'u', 'p', 'return']","[6.1280324439073866, 6.227655137577585, 6.311094273680965, 6.510493245687712, 6.9770092287319585, 7.226782264725216]",,,,,,,,A,001,2019_Feb_14_0933,experiment2_b,3.0.0,60.056726322406405,
mirab,mirapu,alt,Images/hammer.jpg,Images/hammer_pl.jpg,b,new,pl,Write the plural form on your keyboard - then press enter,None,None,None,voicing,prod,,,,,0,1,1,1,,,,,,,,,mirapu,"['m', 'i', 'r', 'a', 'p', 'u', 'return']","[0.6165195666865202, 0.7159553990131826, 0.882905344063829, 0.9995319933925657, 1.2158559956042154, 1.3157201584995164, 1.6487847186672298]",,,,,,,,A,001,2019_Feb_14_0933,experiment2_b,3.0.0,60.056726322406405,
nirupu,nirub,alt,Images/glove_pl.jpg,Images/glove.jpg,b,new,sg,Write the singular form on your keyboard - then press enter,None,None,None,voicing,prod,,,,,0,2,2,4,,,,,,,,,nirub,"['n', 'i', 'r', 'u', 'b', 'return']","[0.9166662400425594, 1.015939528597528, 1.2824315353689144, 1.4824183953473948, 1.6322381040145046, 1.8988098894874383]",,,,,,,,A,001,2019_Feb_14_0933,experiment2_b,3.0.0,60.056726322406405,
namab,namapu,alt,Images/worm.jpg,Images/worm_pl.jpg,b,new,pl,Write the plural form on your keyboard - then press enter,None,None,None,voicing,prod,,,,,0,3,3,2,,,,,,,,,namapu,"['n', 'a', 'm', 'a', 'p', 'u', 'return']","[0.8328794053202273, 0.9828181421032696, 1.1658505348159451, 1.3157325305974155, 1.5654121359191322, 1.6655838947706343, 2.2814532863706063]",,,,,,,,A,001,2019_Feb_14_0933,experiment2_b,3.0.0,60.056726322406405,
