trig,targ,type,trig_img,targ_img,final_c,new,num,instr,a,k,corr,lang,phase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_1.keys,key_resp_1.rt,key_resp_2.keys,key_resp_2.rt,inputText,text_resp.keys,text_resp.rt,key_resp_4.keys,key_resp_4.rt,FC_resp.keys,FC_resp.rt,gender,age,language,group,participant,date,expName,psychopyVersion,frameRate,
limipu,limib,alt,Images/ring_pl.jpg,Images/ring.jpg,b,new,sg,Write the singular form on your keyboard - then press enter,None,None,None,voicing,prod,,,,,0,4,4,3,,,,,,,,,limib,"['l', 'i', 'm', 'i', 'b', 'return']","[0.5333628557191332, 0.6329633649377229, 0.799730288261344, 0.9327550870655159, 2.1652946436495313, 2.4151116219222786]",,,,,,,,A,001,2019_Feb_14_0933,experiment2_b,3.0.0,60.056726322406405,
rumutu,rumud,alt,Images/river_pl.jpg,Images/river.jpg,d,given,sg,Write the singular form on your keyboard - then press enter,None,None,None,voicing,prod,,,,,0,5,5,5,,,,,,,,,rumud,"['r', 'u', 'n', 'u', 'd', 'backspace', 'backspace', 'backspace', 'm', 'u', 'd', 'return']","[1.0163704189108103, 1.3824514160507988, 1.6655501914690376, 1.8985394098253892, 2.065036280111144, 2.3647789404706145, 2.531198591799466, 2.697690769220344, 3.0476330043209146, 3.297042556604538, 3.58020233926527, 3.8297518242445676]",,,,,,,,A,001,2019_Feb_14_0933,experiment2_b,3.0.0,60.056726322406405,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.946868664632575,,,,,,A,001,2019_Feb_14_0933,experiment2_b,3.0.0,60.056726322406405,
nunidu,None,non_alt,Images/car_pl.jpg,Images/car.jpg,d,new,sg,Choose the singular form of the word that belongs to the language,nunit,nunid,k,voicing,FC,,,,,,,,,0,0,0,24,,,,,,,,,,k,1.0827740291742884,,,,A,001,2019_Feb_14_0933,experiment2_b,3.0.0,60.056726322406405,
salitu,None,alt,Images/balloon_pl.jpg,Images/balloon.jpg,d,given,sg,Choose the singular form of the word that belongs to the language,salit,salid,k,voicing,FC,,,,,,,,,0,1,1,6,,,,,,,,,,k,1.3990658639309004,,,,A,001,2019_Feb_14_0933,experiment2_b,3.0.0,60.056726322406405,
minupu,None,alt,Images/raindrop_pl.jpg,Images/raindrop.jpg,b,given,sg,Choose the singular form of the word that belongs to the language,minup,minub,k,voicing,FC,,,,,,,,,0,2,2,0,,,,,,,,,,k,1.015904972047565,,,,A,001,2019_Feb_14_0933,experiment2_b,3.0.0,60.056726322406405,
liliku,None,alt,Images/feather_pl.jpg,Images/feather.jpg,g,new,sg,Choose the singular form of the word that belongs to the language,lilig,lilik,a,voicing,FC,,,,,,,,,0,3,3,19,,,,,,,,,,a,2.264689093440893,,,,A,001,2019_Feb_14_0933,experiment2_b,3.0.0,60.056726322406405,
nurug,None,alt,Images/clarinet.jpg,Images/clarinet_pl.jpg,g,given,pl,Choose the plural form of the word that belongs to the language,nuruku,nurugu,a,voicing,FC,,,,,,,,,0,4,4,13,,,,,,,,,,a,3.9797029331259637,,,,A,001,2019_Feb_14_0933,experiment2_b,3.0.0,60.056726322406405,
munipu,None,alt,Images/calender_pl.jpg,Images/calender.jpg,b,new,sg,Choose the singular form of the word that belongs to the language,munib,munip,a,voicing,FC,,,,,,,,,0,5,5,3,,,,,,,,,,k,1.582181021713268,,,,A,001,2019_Feb_14_0933,experiment2_b,3.0.0,60.056726322406405,
limutu,None,alt,Images/tank_pl.jpg,Images/tank.jpg,d,new,sg,Choose the singular form of the word that belongs to the language,limut,limud,k,voicing,FC,,,,,,,,,0,6,6,12,,,,,,,,,,k,3.030780500208266,,,,A,001,2019_Feb_14_0933,experiment2_b,3.0.0,60.056726322406405,
