lists,listsProd,listsFC,trig,targ,type,trig_img,targ_img,final_c,new,num,instr,a,k,corr,lang,phase,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_1.keys,key_resp_1.rt,key_resp_2.keys,key_resp_2.rt,gender,age,language,group,participant,date,expName,psychopyVersion,frameRate,
Lists/voicing.xlsx,Lists/voicingProd.xlsx,Lists/voicingFC.xlsx,rumab,rumapu,alt,Images/soldier.jpg,Images/soldier_pl.jpg,b,None,None,None,None,None,None,voicing,exposure,0,0,0,0,0,0,0,1,space,11.794094533203861,,,,,,voicing,001,2019_Feb_13_1045,experiment2_b,3.0.0,61.040388967737584,
Lists/voicing.xlsx,Lists/voicingProd.xlsx,Lists/voicingFC.xlsx,namag,namaku,alt,Images/anvil.jpg,Images/anvil_pl.jpg,g,None,None,None,None,None,None,voicing,exposure,0,0,0,0,0,1,1,0,,,,,,,,voicing,001,2019_Feb_13_1045,experiment2_b,3.0.0,61.040388967737584,
Lists/voicing.xlsx,Lists/voicingProd.xlsx,Lists/voicingFC.xlsx,lisud,lisudu,non_alt,Images/statue.jpg,Images/statue_pl.jpg,d,None,None,None,None,None,None,voicing,exposure,0,0,0,0,0,2,2,2,,,,,,,,voicing,001,2019_Feb_13_1045,experiment2_b,3.0.0,61.040388967737584,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.7173466740841832,,,,,,,,,,
