trig,targ,type,trig_img,targ_img,final_c,new,num,instr,a,k,corr,lang,phase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_1.keys,key_resp_1.rt,key_resp_2.keys,key_resp_2.rt,inputText,text_resp.keys,text_resp.rt,key_resp_4.keys,key_resp_4.rt,FC_resp.keys,FC_resp.rt,gender,age,participant,language,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,space,9.998842142266767,,,,,,,,,,,,001,,2019_Feb_14_1125,experiment2_b,3.0.3,59.876465629607694,
nulip,nulipu,non_alt,Images/computer.jpg,Images/computer_pl.jpg,b,None,None,None,None,None,None,devoicing,exposure,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,001,,2019_Feb_14_1125,experiment2_b,3.0.3,59.876465629607694,
larup,larubu,alt,Images/rock.jpg,Images/rock_pl.jpg,b,None,None,None,None,None,None,devoicing,exposure,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,001,,2019_Feb_14_1125,experiment2_b,3.0.3,59.876465629607694,
masit,masidu,alt,Images/thermometer.jpg,Images/thermometer_pl.jpg,d,None,None,None,None,None,None,devoicing,exposure,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,001,,2019_Feb_14_1125,experiment2_b,3.0.3,59.876465629607694,
mamat,mamatu,non_alt,Images/ice-cream.jpg,Images/ice-cream_pl.jpg,d,None,None,None,None,None,None,devoicing,exposure,0,3,3,8,,,,,,,,,,,,,,,,,,,,,,001,,2019_Feb_14_1125,experiment2_b,3.0.3,59.876465629607694,
rinak,rinagu,alt,Images/pen.jpg,Images/pen_pl.jpg,g,None,None,None,None,None,None,devoicing,exposure,0,4,4,13,,,,,,,,,,,,,,,,,,,,,,001,,2019_Feb_14_1125,experiment2_b,3.0.3,59.876465629607694,
misap,misabu,alt,Images/rainbow.jpg,Images/rainbow_pl.jpg,b,None,None,None,None,None,None,devoicing,exposure,0,5,5,19,,,,,,,,,,,,,,,,,,,,,,001,,2019_Feb_14_1125,experiment2_b,3.0.3,59.876465629607694,
limik,limigu,alt,Images/screwdriver.jpg,Images/screwdriver_pl.jpg,g,None,None,None,None,None,None,devoicing,exposure,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,001,,2019_Feb_14_1125,experiment2_b,3.0.3,59.876465629607694,
lisut,lisutu,non_alt,Images/statue.jpg,Images/statue_pl.jpg,d,None,None,None,None,None,None,devoicing,exposure,0,7,7,10,,,,,,,,,,,,,,,,,,,,,,001,,2019_Feb_14_1125,experiment2_b,3.0.3,59.876465629607694,
runuk,runugu,alt,Images/cup.jpg,Images/cup_pl.jpg,g,None,None,None,None,None,None,devoicing,exposure,0,8,8,18,,,,,,,,,,,,,,,,,,,,,,001,,2019_Feb_14_1125,experiment2_b,3.0.3,59.876465629607694,
rumap,rumabu,alt,Images/soldier.jpg,Images/soldier_pl.jpg,b,None,None,None,None,None,None,devoicing,exposure,0,9,9,6,,,,,,,,,,,,,,,,,,,,,,001,,2019_Feb_14_1125,experiment2_b,3.0.3,59.876465629607694,
minup,minubu,alt,Images/raindrop.jpg,Images/raindrop_pl.jpg,b,None,None,None,None,None,None,devoicing,exposure,0,10,10,3,,,,,,,,,,,,,,,,,,,,,,001,,2019_Feb_14_1125,experiment2_b,3.0.3,59.876465629607694,
rimuk,rimugu,alt,Images/door.jpg,Images/door_pl.jpg,g,None,None,None,None,None,None,devoicing,exposure,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,001,,2019_Feb_14_1125,experiment2_b,3.0.3,59.876465629607694,
ranut,ranudu,alt,Images/carpet.jpg,Images/carpet_pl.jpg,d,None,None,None,None,None,None,devoicing,exposure,0,12,12,16,,,,,,,,,,,,,,,,,,,,,,001,,2019_Feb_14_1125,experiment2_b,3.0.3,59.876465629607694,
lirit,liridu,alt,Images/bridge.jpg,Images/bridge_pl.jpg,d,None,None,None,None,None,None,devoicing,exposure,0,13,13,17,,,,,,,,,,,,,,,,,,,,,,001,,2019_Feb_14_1125,experiment2_b,3.0.3,59.876465629607694,
sumak,sumagu,alt,Images/basketball.jpg,Images/basketball_pl.jpg,g,None,None,None,None,None,None,devoicing,exposure,0,14,14,5,,,,,,,,,,,,,,,,,,,,,,001,,2019_Feb_14_1125,experiment2_b,3.0.3,59.876465629607694,
lunit,lunidu,alt,Images/ship.jpg,Images/ship_pl.jpg,d,None,None,None,None,None,None,devoicing,exposure,0,15,15,14,,,,,,,,,,,,,,,,,,,,,,001,,2019_Feb_14_1125,experiment2_b,3.0.3,59.876465629607694,
narit,naridu,alt,Images/squid.jpg,Images/squid_pl.jpg,d,None,None,None,None,None,None,devoicing,exposure,0,16,16,2,,,,,,,,,,,,,,,,,,,,,,001,,2019_Feb_14_1125,experiment2_b,3.0.3,59.876465629607694,
nurak,nuraku,non_alt,Images/lion.jpg,Images/lion_pl.jpg,g,None,None,None,None,None,None,devoicing,exposure,0,17,17,12,,,,,,,,,,,,,,,,,,,,,,001,,2019_Feb_14_1125,experiment2_b,3.0.3,59.876465629607694,
silut,siludu,alt,Images/moustache.jpg,Images/moustache_pl.jpg,d,None,None,None,None,None,None,devoicing,exposure,0,18,18,15,,,,,,,,,,,,,,,,,,,,,,001,,2019_Feb_14_1125,experiment2_b,3.0.3,59.876465629607694,
nasap,nasabu,alt,Images/spear.jpg,Images/spear_pl.jpg,b,None,None,None,None,None,None,devoicing,exposure,0,19,19,9,,,,,,,,,,,,,,,,,,,,,,001,,2019_Feb_14_1125,experiment2_b,3.0.3,59.876465629607694,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.6302491825881589,,,,,,,,,,001,,2019_Feb_14_1125,experiment2_b,3.0.3,59.876465629607694,
susagu,susak,alt,Images/box_pl.jpg,Images/box.jpg,g,new,sg,Write the singular form on your keyboard - then press enter,None,None,None,devoicing,prod,,,,,0,0,0,9,,,,,,,,,sd,"['s', 'd', 'return']","[0.566534583853354, 0.6163506235534442, 1.4820903214358623]",,,,,,,001,,2019_Feb_14_1125,experiment2_b,3.0.3,59.876465629607694,
runigu,runik,alt,Images/shack_pl.jpg,Images/shack.jpg,g,new,sg,Write the singular form on your keyboard - then press enter,None,None,None,devoicing,prod,,,,,0,1,1,6,,,,,,,,,jk,"['j', 'k', 'return']","[6.676930815227024, 6.760328995419513, 7.442655325292435]",,,,,,,001,,2019_Feb_14_1125,experiment2_b,3.0.3,59.876465629607694,
salibu,salip,non_alt,Images/circle_pl.jpg,Images/circle.jpg,b,new,sg,Write the singular form on your keyboard - then press enter,None,None,None,devoicing,prod,,,,,0,2,2,7,,,,,,,,,jk,"['j', 'k', 'return']","[9.99033909787795, 10.039785254506569, 10.789046341613357]",,,,,,,001,,2019_Feb_14_1125,experiment2_b,3.0.3,59.876465629607694,
nirudu,nirut,alt,Images/airplane_pl.jpg,Images/airplane.jpg,d,new,sg,Write the singular form on your keyboard - then press enter,None,None,None,devoicing,prod,,,,,0,3,3,3,,,,,,,,,kl,"['k', 'l', 'return']","[3.330098669615836, 3.380476573219312, 3.9795442289705534]",,,,,,,001,,2019_Feb_14_1125,experiment2_b,3.0.3,59.876465629607694,
lumudu,lumut,alt,Images/knife_pl.jpg,Images/knife.jpg,d,new,sg,Write the singular form on your keyboard - then press enter,None,None,None,devoicing,prod,,,,,0,4,4,1,,,,,,,,,lk,"['l', 'ø', 'backspace', 'k', 'return']","[4.7454095249804595, 4.795456368303348, 5.944346889739791, 6.743371115161608, 7.459660987447023]",,,,,,,001,,2019_Feb_14_1125,experiment2_b,3.0.3,59.876465629607694,
rimugu,rimuk,alt,Images/door_pl.jpg,Images/door.jpg,g,given,sg,Write the singular form on your keyboard - then press enter,None,None,None,devoicing,prod,,,,,0,5,5,8,,,,,,,,,jk,"['j', 'k', 'return']","[7.8425424405622834, 7.942384419005975, 8.608130857548531]",,,,,,,001,,2019_Feb_14_1125,experiment2_b,3.0.3,59.876465629607694,
nuragu,nurak,non_alt,Images/lion_pl.jpg,Images/lion.jpg,g,given,sg,Write the singular form on your keyboard - then press enter,None,None,None,devoicing,prod,,,,,0,6,6,0,,,,,,,,,kl,"['k', 'l', 'return']","[2.098143588011226, 2.181560539662314, 2.947464658462195]",,,,,,,001,,2019_Feb_14_1125,experiment2_b,3.0.3,59.876465629607694,
milubu,milup,alt,Images/soap_pl.jpg,Images/soap.jpg,b,given,sg,Write the singular form on your keyboard - then press enter,None,None,None,devoicing,prod,,,,,0,7,7,4,,,,,,,,,jk,"['j', 'k', 'return']","[4.029760868675112, 4.112792152165639, 4.962058614734815]",,,,,,,001,,2019_Feb_14_1125,experiment2_b,3.0.3,59.876465629607694,
sunudu,sunut,non_alt,Images/flagpole_pl.jpg,Images/flagpole.jpg,d,given,sg,Write the singular form on your keyboard - then press enter,None,None,None,devoicing,prod,,,,,0,8,8,5,,,,,,,,,lk,"['l', 'k', 'return']","[4.246193660024801, 4.296132994081745, 5.312143342275704]",,,,,,,001,,2019_Feb_14_1125,experiment2_b,3.0.3,59.876465629607694,
nirubu,nirup,alt,Images/glove_pl.jpg,Images/glove.jpg,b,new,sg,Write the singular form on your keyboard - then press enter,None,None,None,devoicing,prod,,,,,0,9,9,2,,,,,,,,,lk,"['l', 'k', 'return']","[2.6644089720748525, 2.7643089713919835, 3.513328589273442]",,,,,,,001,,2019_Feb_14_1125,experiment2_b,3.0.3,59.876465629607694,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.0504214192587824,,,,,001,,2019_Feb_14_1125,experiment2_b,3.0.3,59.876465629607694,
nurat,None,alt,Images/copier.jpg,Images/copier_pl.jpg,d,given,pl,Choose the plural form of the word that belongs to the language,nuradu,nuratu,a,devoicing,FC,,,,,,,,,0,0,0,8,,,,,,,,,,k,2.198140857616636,,,001,,2019_Feb_14_1125,experiment2_b,3.0.3,59.876465629607694,
lisutu,None,non_alt,Images/statue_pl.jpg,Images/statue.jpg,d,given,sg,Choose the singular form of the word that belongs to the language,lisut,lisud,a,devoicing,FC,,,,,,,,,0,1,1,7,,,,,,,,,,k,1.8653706680588584,,,001,,2019_Feb_14_1125,experiment2_b,3.0.3,59.876465629607694,
munibu,None,alt,Images/calender_pl.jpg,Images/calender.jpg,b,new,sg,Choose the singular form of the word that belongs to the language,munip,munib,a,devoicing,FC,,,,,,,,,0,2,2,2,,,,,,,,,,k,1.0162202472374702,,,001,,2019_Feb_14_1125,experiment2_b,3.0.3,59.876465629607694,
manigu,None,alt,Images/hoover_pl.jpg,Images/hoover.jpg,g,new,sg,Choose the singular form of the word that belongs to the language,manig,manik,k,devoicing,FC,,,,,,,,,0,3,3,1,,,,,,,,,,k,7.8090097884633,,,001,,2019_Feb_14_1125,experiment2_b,3.0.3,59.876465629607694,
lusak,None,non_alt,Images/helicopter_pl.jpg,Images/helicopter.jpg,g,new,pl,Choose the plural form of the word that belongs to the language,lusaku,lusagu,k,devoicing,FC,,,,,,,,,0,4,4,9,,,,,,,,,,k,6.094172571143645,,,001,,2019_Feb_14_1125,experiment2_b,3.0.3,59.876465629607694,
naridu,None,alt,Images/squid_pl.jpg,Images/squid.jpg,d,given,sg,Choose the singular form of the word that belongs to the language,narid,narit,k,devoicing,FC,,,,,,,,,0,5,5,6,,,,,,,,,,k,4.928486286596126,,,001,,2019_Feb_14_1125,experiment2_b,3.0.3,59.876465629607694,
nanapu,None,non_alt,Images/sun_pl.jpg,Images/sun.jpg,b,new,sg,Choose the singular form of the word that belongs to the language,nanab,narap,k,devoicing,FC,,,,,,,,,0,6,6,4,,,,,,,,,,k,6.543554904811572,,,001,,2019_Feb_14_1125,experiment2_b,3.0.3,59.876465629607694,
