lists,trig,targ,type,trig_img,targ_img,final_c,new,num,instr,a,k,corr,lang,phase,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_1.keys,key_resp_1.rt,key_resp_2.keys,key_resp_2.rt,inputText,text_resp.keys,text_resp.rt,key_resp_4.keys,key_resp_4.rt,FC_resp.keys,FC_resp.rt,gender,age,language,group,participant,date,expName,psychopyVersion,frameRate,
Lists/devoicing.xlsx,nalip,nalibu,alt,Images/coin.jpg,Images/coin_pl.jpg,b,None,None,None,None,None,None,devoicing,exposure,0,0,0,1,0,0,0,2,,,,,,,,,space,0.8681276953757333,,,,,,,,,,,,,voicing,001,2019_Feb_12_1515,experiment2_b,3.0.0,60.464506742678296,
Lists/devoicing.xlsx,musap,musabu,alt,Images/apple.jpg,Images/apple_pl.jpg,b,None,None,None,None,None,None,devoicing,exposure,0,0,0,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,voicing,001,2019_Feb_12_1515,experiment2_b,3.0.0,60.464506742678296,
Lists/devoicing.xlsx,larup,larubu,alt,Images/rock.jpg,Images/rock_pl.jpg,b,None,None,None,None,None,None,devoicing,exposure,0,0,0,1,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,voicing,001,2019_Feb_12_1515,experiment2_b,3.0.0,60.464506742678296,
Lists/devoicing.xlsx,milubu,milup,alt,Images/soap_pl.jpg,Images/soap.jpg,b,given,sg,Write the singular form on your keyboard - then press enter,None,None,None,devoicing,prod,0,0,0,1,,,,,0,0,0,0,,,,,,,space,2.9241335115038964,mirup,"['m', 'i', 'r', 'u', 'p', 'return']","[4.146511604092666, 4.264835986257822, 4.43029010661121, 4.585231510161975, 4.796574236675951, 5.029302491479029]",,,,,,,,voicing,001,2019_Feb_12_1515,experiment2_b,3.0.0,60.464506742678296,
Lists/devoicing.xlsx,mirap,mirabu,alt,Images/hammer.jpg,Images/hammer_pl.jpg,b,new,pl,Write the plural form on your keyboard - then press enter,None,None,None,devoicing,prod,0,0,0,1,,,,,0,1,1,1,,,,,,,,,mirabu,"['m', 'i', 'r', 'a', 'b', 'u', 'return']","[0.6335635550021834, 0.7334731900118641, 0.8660477645935316, 0.9828003590700973, 1.2332718100442435, 1.3993356167738966, 1.765632119760994]",,,,,,,,voicing,001,2019_Feb_12_1515,experiment2_b,3.0.0,60.464506742678296,
Lists/devoicing.xlsx,musubu,None,alt,Images/dog_pl.jpg,Images/dog.jpg,b,new,sg,Choose the singular form of the word that belongs to the language,musup,musub,a,devoicing,FC,0,0,0,1,,,,,,,,,0,0,0,1,,,,,,,,space,1.1171075693273451,a,1.3738256390824972,,,,voicing,001,2019_Feb_12_1515,experiment2_b,3.0.0,60.464506742678296,
Lists/devoicing.xlsx,minubu,None,alt,Images/raindrop_pl.jpg,Images/raindrop.jpg,b,given,sg,Choose the singular form of the word that belongs to the language,minub,minup,k,devoicing,FC,0,0,0,1,,,,,,,,,0,1,1,0,,,,,,,,,,k,0.891730109888158,,,,voicing,001,2019_Feb_12_1515,experiment2_b,3.0.0,60.464506742678296,
Lists/devoicing.xlsx,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,voicing,001,2019_Feb_12_1515,experiment2_b,3.0.0,60.464506742678296,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,4.146531230104301,,,,,,,,,,,,,,,,,,,
