trig,targ,type,trig_img,targ_img,final_c,new,num,instr,a,k,corr,lang,phase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_1.keys,key_resp_1.rt,key_resp_2.keys,key_resp_2.rt,inputText,text_resp.keys,text_resp.rt,key_resp_4.keys,key_resp_4.rt,FC_resp.keys,FC_resp.rt,gender,age,language,group,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.7226792485671467,,,,,,,,,,,,,voicing,001,2019_Feb_13_1307,experiment2_b,3.0.0,59.92534566002684,
musab,musapu,alt,Images/apple.jpg,Images/apple_pl.jpg,b,None,None,None,None,None,None,voicing,exposure,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,voicing,001,2019_Feb_13_1307,experiment2_b,3.0.0,59.92534566002684,
larub,larupu,alt,Images/rock.jpg,Images/rock_pl.jpg,b,None,None,None,None,None,None,voicing,exposure,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,voicing,001,2019_Feb_13_1307,experiment2_b,3.0.0,59.92534566002684,
nalib,nalipu,alt,Images/coin.jpg,Images/coin_pl.jpg,b,None,None,None,None,None,None,voicing,exposure,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,voicing,001,2019_Feb_13_1307,experiment2_b,3.0.0,59.92534566002684,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.3065665029498632,,,,,,,,,,,voicing,001,2019_Feb_13_1307,experiment2_b,3.0.0,59.92534566002684,
namab,namapu,alt,Images/worm.jpg,Images/worm_pl.jpg,b,new,pl,Write the plural form on your keyboard - then press enter,None,None,None,voicing,prod,,,,,0,0,0,1,,,,,,,,,namapu,"['n', 'a', 'm', 'a', 'p', 'u', 'return']","[1.3664300805157836, 1.4815439763533504, 1.6662002068351285, 1.7812556529806898, 1.9482728755883727, 2.0654837074671377, 2.6808335352761787]",,,,,,,,voicing,001,2019_Feb_13_1307,experiment2_b,3.0.0,59.92534566002684,
mirab,mirapu,alt,Images/hammer.jpg,Images/hammer_pl.jpg,b,new,pl,Write the plural form on your keyboard - then press enter,None,None,None,voicing,prod,,,,,0,1,1,0,,,,,,,,,mirapu,"['m', 'i', 'r', 'a', 'b', 'u', 'backspace', 'backspace', 'p', 'u', 'return']","[1.6156215975461237, 1.7155031622569368, 1.882011403236902, 1.998091212237341, 2.29825640728086, 2.414969776815269, 2.9182327202233864, 3.0690197005333175, 3.4968659018995822, 3.5793793751945486, 4.279584930389319]",,,,,,,,voicing,001,2019_Feb_13_1307,experiment2_b,3.0.0,59.92534566002684,
limipu,limib,alt,Images/ring_pl.jpg,Images/ring.jpg,b,new,sg,Write the singular form on your keyboard - then press enter,None,None,None,voicing,prod,,,,,0,2,2,2,,,,,,,,,limib,"['l', 'i', 'm', 'i', 'b', 'return']","[2.1816684699315374, 2.2977128678066947, 2.3986879110670998, 2.5315214497568377, 2.7813465273193287, 2.947834289576349]",,,,,,,,voicing,001,2019_Feb_13_1307,experiment2_b,3.0.0,59.92534566002684,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.617668190056065,,,,,,voicing,001,2019_Feb_13_1307,experiment2_b,3.0.0,59.92534566002684,
murapu,None,alt,Images/mouse_pl.jpg,Images/mouse.jpg,b,new,sg,Choose the singular form of the word that belongs to the language,murap,murab,k,voicing,FC,,,,,,,,,0,0,0,1,,,,,,,,,,a,1.374620716958816,,,,voicing,001,2019_Feb_13_1307,experiment2_b,3.0.0,59.92534566002684,
nurad,None,alt,Images/copier.jpg,Images/copier_pl.jpg,d,given,pl,Choose the plural form of the word that belongs to the language,nuratu,nuradu,a,voicing,FC,,,,,,,,,0,1,1,2,,,,,,,,,,a,1.2100745937532338,,,,voicing,001,2019_Feb_13_1307,experiment2_b,3.0.0,59.92534566002684,
munipu,None,alt,Images/calender_pl.jpg,Images/calender.jpg,b,new,sg,Choose the singular form of the word that belongs to the language,munib,munip,a,voicing,FC,,,,,,,,,0,2,2,0,,,,,,,,,,a,1.0734588906670979,,,,voicing,001,2019_Feb_13_1307,experiment2_b,3.0.0,59.92534566002684,
