lists,listsProd,listsFC,trig,targ,type,trig_img,targ_img,final_c,new,num,instr,a,k,corr,lang,phase,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_1.keys,key_resp_1.rt,key_resp_2.keys,key_resp_2.rt,gender,age,language,group,participant,date,expName,psychopyVersion,frameRate,
Lists/devoicing.xlsx,Lists/devoicingProd.xlsx,Lists/devoicingFC.xlsx,sanup,sanubu,alt,Images/hammock.jpg,Images/hammock_pl.jpg,b,None,None,None,None,None,None,devoicing,exposure,0,0,0,1,0,0,0,0,space,7.205254840658199,,,,,,voicing,001,2019_Feb_13_1025,experiment2_b,3.0.0,59.90512896539819,
Lists/devoicing.xlsx,Lists/devoicingProd.xlsx,Lists/devoicingFC.xlsx,rumap,rumabu,alt,Images/soldier.jpg,Images/soldier_pl.jpg,b,None,None,None,None,None,None,devoicing,exposure,0,0,0,1,0,1,1,2,,,,,,,,voicing,001,2019_Feb_13_1025,experiment2_b,3.0.0,59.90512896539819,
Lists/devoicing.xlsx,Lists/devoicingProd.xlsx,Lists/devoicingFC.xlsx,minup,minubu,alt,Images/raindrop.jpg,Images/raindrop_pl.jpg,b,None,None,None,None,None,None,devoicing,exposure,0,0,0,1,0,2,2,1,,,,,,,,voicing,001,2019_Feb_13_1025,experiment2_b,3.0.0,59.90512896539819,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.2386889179379068,,,,,,,,,,
