Plural,Singular,Test_cond,New_seg,Filler,Picture,Picture_pl,Trigger_txt,Target_txt,Target_img,Trigger_img,Corr,Incorr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_1.keys,key_resp_1.rt,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,inputText,text_resp.keys,text_resp.rt,key_resp_4.keys,key_resp_4.rt,FC_resp.keys,FC_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,space,0.9194859284361883,,,,,,,,,,,,111,001,2019_Jan_18_1521,experiment2_b,3.0.0,60.322422907451696,
larupu,larub,0,0,0,Images/rock.jpg,Images/rock_pl.jpg,,,,,,,0,0,0,1,,,,,,,,,,,p,36.77554358677662,,,,,,,,,,111,001,2019_Jan_18_1521,experiment2_b,3.0.0,60.322422907451696,
musapu,musab,0,0,0,Images/apple.jpg,Images/apple_pl.jpg,,,,,,,0,1,1,0,,,,,,,,,,,p,10.5867541627631,,,,,,,,,,111,001,2019_Jan_18_1521,experiment2_b,3.0.0,60.322422907451696,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.1032849007351615,,,,,,,,111,001,2019_Jan_18_1521,experiment2_b,3.0.0,60.322422907451696,
,,0,0,0,,,larupu,larub,Images/rock.jpg,Images/rock_pl.jpg,,,,,,,0,0,0,1,,,,,,,,,,,larub,"['l', 'a', 'r', 'u', 'b', 'return']","[1.1832050842276658, 1.3498295131648774, 1.6485560669607366, 1.815653643796395, 1.9652848529549374, 2.348101606057753]",,,,,111,001,2019_Jan_18_1521,experiment2_b,3.0.0,60.322422907451696,
,,0,0,0,,,musapu,musab,Images/apple.jpg,Images/apple_pl.jpg,,,,,,,0,1,1,0,,,,,,,,,,,musab,"['m', 'u', 's', 'a', 'b', 'return']","[0.965124008267594, 1.2647166488313815, 1.4646320880456187, 1.6642650891080848, 1.847424522457004, 2.164029581770592]",,,,,111,001,2019_Jan_18_1521,experiment2_b,3.0.0,60.322422907451696,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.1544855615247798,,,111,001,2019_Jan_18_1521,experiment2_b,3.0.0,60.322422907451696,
,,0,0,0,,,larupu,,Images/rock.jpg,Images/rock_pl.jpg,larub,larup,,,,,,,,,0,0,0,1,,,,,,,,,,,,a,4.658011345309205,111,001,2019_Jan_18_1521,experiment2_b,3.0.0,60.322422907451696,
,,0,0,0,,,musapu,,Images/apple.jpg,Images/apple_pl.jpg,musab,musap,,,,,,,,,0,1,1,0,,,,,,,,,,,,k,1.0317026156662905,111,001,2019_Jan_18_1521,experiment2_b,3.0.0,60.322422907451696,
