23.2706 	EXP 	text_3: autoDraw = False
23.2706 	EXP 	image: autoDraw = False
23.2706 	EXP 	image_2: autoDraw = False
23.2706 	EXP 	text: autoDraw = False
23.2706 	EXP 	text_2: autoDraw = False
23.2706 	EXP 	image: image = 'Images/cup.jpg'
23.2706 	EXP 	image_2: image = 'Images/cup_pl.jpg'
23.2706 	EXP 	text: text = 'runug'
23.2706 	EXP 	text_2: text = 'runuku'
23.2706 	EXP 	text_3: autoDraw = True
23.2706 	EXP 	image: autoDraw = True
23.2706 	EXP 	text: autoDraw = True
26.2112 	EXP 	image: autoDraw = False
26.2112 	EXP 	text: autoDraw = False
26.2281 	EXP 	image_2: autoDraw = True
26.2281 	EXP 	text_2: autoDraw = True
29.1935 	EXP 	New trial (rep=0, index=3): OrderedDict([('Plural', 'malitu'), ('Singular', 'malid'), ('Test_cond', 0), ('New_seg', 1), ('Filler', 0), ('Picture', 'Images/fork.jpg'), ('Picture_pl', 'Images/fork_pl.jpg')])
29.2833 	EXP 	text_3: autoDraw = False
29.2833 	EXP 	image_2: autoDraw = False
29.2833 	EXP 	text_2: autoDraw = False
29.2833 	EXP 	text_3: autoDraw = False
29.2833 	EXP 	image: autoDraw = False
29.2833 	EXP 	image_2: autoDraw = False
29.2833 	EXP 	text: autoDraw = False
29.2833 	EXP 	text_2: autoDraw = False
29.2833 	EXP 	image: image = 'Images/fork.jpg'
29.2833 	EXP 	image_2: image = 'Images/fork_pl.jpg'
29.2833 	EXP 	text: text = 'malid'
29.2833 	EXP 	text_2: text = 'malitu'
29.2833 	EXP 	text_3: autoDraw = True
29.2833 	EXP 	image: autoDraw = True
29.2833 	EXP 	text: autoDraw = True
32.2111 	EXP 	image: autoDraw = False
32.2111 	EXP 	text: autoDraw = False
32.2224 	EXP 	image_2: autoDraw = True
32.2224 	EXP 	text_2: autoDraw = True
35.1873 	EXP 	New trial (rep=0, index=4): OrderedDict([('Plural', 'milupu'), ('Singular', 'milub'), ('Test_cond', 0), ('New_seg', 0), ('Filler', 0), ('Picture', 'Images/soap.jpg'), ('Picture_pl', 'Images/soap_pl.jpg')])
35.2453 	EXP 	text_3: autoDraw = False
35.2453 	EXP 	image_2: autoDraw = False
35.2453 	EXP 	text_2: autoDraw = False
35.2453 	EXP 	text_3: autoDraw = False
35.2453 	EXP 	image: autoDraw = False
35.2453 	EXP 	image_2: autoDraw = False
35.2453 	EXP 	text: autoDraw = False
35.2453 	EXP 	text_2: autoDraw = False
35.2453 	EXP 	image: image = 'Images/soap.jpg'
35.2453 	EXP 	image_2: image = 'Images/soap_pl.jpg'
35.2453 	EXP 	text: text = 'milub'
35.2453 	EXP 	text_2: text = 'milupu'
35.2453 	EXP 	text_3: autoDraw = True
35.2453 	EXP 	image: autoDraw = True
35.2453 	EXP 	text: autoDraw = True
38.1997 	EXP 	image: autoDraw = False
38.1997 	EXP 	text: autoDraw = False
38.2164 	EXP 	image_2: autoDraw = True
38.2164 	EXP 	text_2: autoDraw = True
40.2320 	DATA 	Keypress: escape
40.2735 	EXP 	window1: mouseVisible = True
