Plural,Singular,Test_cond,New_seg,Filler,Picture,Picture_pl,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_1.keys,key_resp_1.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,space,3.2892399430329533,111,001,2019_Jan_17_1337,experiment2_b,3.0.0,59.97512762444684,
ralatu,ralad,0,1,0,Images/magnifying_glass.jpg,Images/magnifying_glass_pl.jpg,0,0,0,76,,,111,001,2019_Jan_17_1337,experiment2_b,3.0.0,59.97512762444684,
