lists,trig,targ,type,trig_img,targ_img,final_c,new,num,instr,a,k,corr,lang,phase,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_1.keys,key_resp_1.rt,key_resp_2.keys,key_resp_2.rt,gender,age,language,group,participant,date,expName,psychopyVersion,frameRate,
Lists/voicing.xlsx,limig,limiku,alt,Images/screwdriver.jpg,Images/screwdriver_pl.jpg,g,None,None,None,None,None,None,voicing,exposure,0,0,0,0,0,0,0,2,space,1.1813672620282887,,,,,,voicing,001,2019_Feb_13_1016,experiment2_b,3.0.0,60.08279694736798,
Lists/voicing.xlsx,sunag,sunaku,alt,Images/nose.jpg,Images/nose_pl.jpg,g,None,None,None,None,None,None,voicing,exposure,0,0,0,0,0,1,1,0,,,,,,,,voicing,001,2019_Feb_13_1016,experiment2_b,3.0.0,60.08279694736798,
Lists/voicing.xlsx,lunid,lunitu,alt,Images/ship.jpg,Images/ship_pl.jpg,d,None,None,None,None,None,None,voicing,exposure,0,0,0,0,0,2,2,1,,,,,,,,voicing,001,2019_Feb_13_1016,experiment2_b,3.0.0,60.08279694736798,
,,,,,,,,,,,,,,,,,,,,,,,,,space,3.6498620245947677,,,,,,,,,,
