Plural,Singular,Test_cond,New_seg,Filler,Picture,Picture_pl,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_1.keys,key_resp_1.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,space,0.6857634488969779,23,001,2019_Jan_17_1331,experiment2_b,3.0.0,60.35489885088193,
sunaku,sunag,0,0,0,Images/nose.jpg,Images/nose_pl.jpg,0,0,0,7,,,23,001,2019_Jan_17_1331,experiment2_b,3.0.0,60.35489885088193,
