24.4589 	EXP 	New trial (rep=0, index=2): OrderedDict([('Plural', 'murupu'), ('Singular', 'murub'), ('Test_cond', 0), ('New_seg', 1), ('Filler', 0), ('Picture', 'Images/beer.jpg'), ('Picture_pl', 'Images/beer_pl.jpg')])
24.5471 	EXP 	text_3: autoDraw = False
24.5471 	EXP 	text_3: autoDraw = False
24.5471 	EXP 	image: autoDraw = False
24.5471 	EXP 	image_2: autoDraw = False
24.5471 	EXP 	text: autoDraw = False
24.5471 	EXP 	text_2: autoDraw = False
24.5471 	EXP 	image: image = 'Images/beer.jpg'
24.5471 	EXP 	image_2: image = 'Images/beer_pl.jpg'
24.5471 	EXP 	text: text = 'murub'
24.5471 	EXP 	text_2: text = 'murupu'
24.5471 	EXP 	text_3: autoDraw = True
24.5471 	EXP 	image: autoDraw = True
24.5471 	EXP 	text: autoDraw = True
27.4712 	EXP 	image: autoDraw = False
27.4712 	EXP 	text: autoDraw = False
27.4876 	EXP 	image_2: autoDraw = True
27.4876 	EXP 	text_2: autoDraw = True
30.4683 	EXP 	image_2: autoDraw = False
30.4683 	EXP 	text_2: autoDraw = False
32.4522 	EXP 	New trial (rep=0, index=3): OrderedDict([('Plural', 'sunaku'), ('Singular', 'sunag'), ('Test_cond', 0), ('New_seg', 0), ('Filler', 0), ('Picture', 'Images/nose.jpg'), ('Picture_pl', 'Images/nose_pl.jpg')])
32.5163 	EXP 	text_3: autoDraw = False
32.5163 	EXP 	text_3: autoDraw = False
32.5163 	EXP 	image: autoDraw = False
32.5163 	EXP 	image_2: autoDraw = False
32.5163 	EXP 	text: autoDraw = False
32.5163 	EXP 	text_2: autoDraw = False
32.5163 	EXP 	image: image = 'Images/nose.jpg'
32.5163 	EXP 	image_2: image = 'Images/nose_pl.jpg'
32.5163 	EXP 	text: text = 'sunag'
32.5163 	EXP 	text_2: text = 'sunaku'
32.5163 	EXP 	text_3: autoDraw = True
32.5163 	EXP 	image: autoDraw = True
32.5163 	EXP 	text: autoDraw = True
35.4632 	EXP 	image: autoDraw = False
35.4632 	EXP 	text: autoDraw = False
35.4798 	EXP 	image_2: autoDraw = True
35.4798 	EXP 	text_2: autoDraw = True
38.4603 	EXP 	image_2: autoDraw = False
38.4603 	EXP 	text_2: autoDraw = False
40.4447 	EXP 	New trial (rep=0, index=4): OrderedDict([('Plural', 'samuku'), ('Singular', 'samug'), ('Test_cond', 0), ('New_seg', 0), ('Filler', 0), ('Picture', 'Images/sleigh.jpg'), ('Picture_pl', 'Images/sleigh_pl.jpg')])
40.5347 	EXP 	text_3: autoDraw = False
40.5347 	EXP 	text_3: autoDraw = False
40.5347 	EXP 	image: autoDraw = False
40.5347 	EXP 	image_2: autoDraw = False
40.5347 	EXP 	text: autoDraw = False
40.5347 	EXP 	text_2: autoDraw = False
40.5347 	EXP 	image: image = 'Images/sleigh.jpg'
40.5347 	EXP 	image_2: image = 'Images/sleigh_pl.jpg'
40.5347 	EXP 	text: text = 'samug'
40.5347 	EXP 	text_2: text = 'samuku'
40.5347 	EXP 	text_3: autoDraw = True
40.5347 	EXP 	image: autoDraw = True
40.5347 	EXP 	text: autoDraw = True
43.4559 	EXP 	image: autoDraw = False
43.4559 	EXP 	text: autoDraw = False
43.4726 	EXP 	image_2: autoDraw = True
43.4726 	EXP 	text_2: autoDraw = True
46.4532 	EXP 	image_2: autoDraw = False
46.4532 	EXP 	text_2: autoDraw = False
48.4371 	EXP 	New trial (rep=0, index=5): OrderedDict([('Plural', 'malitu'), ('Singular', 'malid'), ('Test_cond', 0), ('New_seg', 1), ('Filler', 0), ('Picture', 'Images/fork.jpg'), ('Picture_pl', 'Images/fork_pl.jpg')])
48.5168 	EXP 	text_3: autoDraw = False
48.5168 	EXP 	text_3: autoDraw = False
48.5168 	EXP 	image: autoDraw = False
48.5168 	EXP 	image_2: autoDraw = False
48.5168 	EXP 	text: autoDraw = False
48.5168 	EXP 	text_2: autoDraw = False
48.5168 	EXP 	image: image = 'Images/fork.jpg'
48.5168 	EXP 	image_2: image = 'Images/fork_pl.jpg'
48.5168 	EXP 	text: text = 'malid'
48.5168 	EXP 	text_2: text = 'malitu'
48.5168 	EXP 	text_3: autoDraw = True
48.5168 	EXP 	image: autoDraw = True
48.5168 	EXP 	text: autoDraw = True
51.4484 	EXP 	image: autoDraw = False
51.4484 	EXP 	text: autoDraw = False
51.4648 	EXP 	image_2: autoDraw = True
51.4648 	EXP 	text_2: autoDraw = True
52.6975 	DATA 	Keypress: escape
52.7373 	EXP 	window1: mouseVisible = True
