lists,listsProd,listsFC,trig,targ,type,trig_img,targ_img,final_c,new,num,instr,a,k,corr,lang,phase,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_1.keys,key_resp_1.rt,key_resp_2.keys,key_resp_2.rt,gender,age,language,group,participant,date,expName,psychopyVersion,frameRate,
Lists/voicing.xlsx,Lists/voicingProd.xlsx,Lists/voicingFC.xlsx,lunid,lunitu,alt,Images/ship.jpg,Images/ship_pl.jpg,d,None,None,None,None,None,None,voicing,exposure,0,0,0,0,0,0,0,2,space,1.133250792697254,,,,,,voicing,001,2019_Feb_13_1028,experiment2_b,3.0.0,59.958610351545865,
Lists/voicing.xlsx,Lists/voicingProd.xlsx,Lists/voicingFC.xlsx,milub,milupu,alt,Images/soap.jpg,Images/soap_pl.jpg,b,None,None,None,None,None,None,voicing,exposure,0,0,0,0,0,1,1,1,,,,,,,,voicing,001,2019_Feb_13_1028,experiment2_b,3.0.0,59.958610351545865,
Lists/voicing.xlsx,Lists/voicingProd.xlsx,Lists/voicingFC.xlsx,nimub,nimupu,alt,Images/hand.jpg,Images/hand_pl.jpg,b,None,None,None,None,None,None,voicing,exposure,0,0,0,0,0,2,2,0,,,,,,,,voicing,001,2019_Feb_13_1028,experiment2_b,3.0.0,59.958610351545865,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.5549529501304278,,,,,,,,,,
