Plural,Singular,Test_cond,New_seg,Filler,Picture,Picture_pl,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Trigger_txt,Target_txt,Target_img,Trigger_img,key_resp_1.keys,key_resp_1.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,space,1.623806464162044,,,111,001,2019_Jan_18_1447,experiment2_b,3.0.0,59.38027426839953,
nalipu,nalib,0,0,0,Images/coin.jpg,Images/coin_pl.jpg,0,0,0,4,,,,,,,,,,,,,111,001,2019_Jan_18_1447,experiment2_b,3.0.0,59.38027426839953,
limiku,limig,0,0,0,Images/screwdriver.jpg,Images/screwdriver_pl.jpg,0,1,1,3,,,,,,,,,,,,,111,001,2019_Jan_18_1447,experiment2_b,3.0.0,59.38027426839953,
larupu,larub,0,0,0,Images/rock.jpg,Images/rock_pl.jpg,0,2,2,1,,,,,,,,,,,,,111,001,2019_Jan_18_1447,experiment2_b,3.0.0,59.38027426839953,
rumutu,rumud,0,0,0,Images/river.jpg,Images/river_pl.jpg,0,3,3,2,,,,,,,,,,,,,111,001,2019_Jan_18_1447,experiment2_b,3.0.0,59.38027426839953,
musapu,musab,0,0,0,Images/apple.jpg,Images/apple_pl.jpg,0,4,4,0,,,,,,,,,,,,,111,001,2019_Jan_18_1447,experiment2_b,3.0.0,59.38027426839953,
,,,,,,,,,,,,,,,,,,,,,space,2.142079188488424,111,001,2019_Jan_18_1447,experiment2_b,3.0.0,59.38027426839953,
